time,open,high,low,close,Volume,RSI,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ATR
1720515600,57605.52,57665.7,57490.33,57602.58,216.79016643,61.236925597197725,NaN,NaN,NaN,NaN,NaN,NaN,402.4077070870577
1720517400,57600.18,57691.5,57536.46,57582.06,105.91856027,60.7154592607625,NaN,NaN,NaN,NaN,NaN,NaN,384.73858515226794
1720519200,57582,57667.55,57361.35,57422.82,159.87680586,56.681654162631965,NaN,NaN,NaN,NaN,NaN,NaN,379.1286862128205
1720521000,57422.83,57507.48,57272.52,57429.05,215.45028375,56.80257302881958,NaN,NaN,NaN,NaN,NaN,NaN,368.83092291190525
1720522800,57424.73,57539.8,57216.08,57530.96,103.40898117,58.82720455454295,NaN,NaN,NaN,NaN,NaN,NaN,365.6087141324835
1720524600,57530.96,57539.79,57404.81,57427.48,114.71126271,55.959174381237304,NaN,NaN,NaN,NaN,NaN,NaN,349.135234551592
1720526400,57423.61,57544.81,57295.74,57319.71,102.4598357,53.057944942516514,NaN,NaN,NaN,NaN,NaN,NaN,341.98771779790684
1720528200,57320.69,57561.8,57264.52,57338.02,105.64418268,53.499055745461646,NaN,NaN,NaN,NaN,NaN,NaN,338.79430938377106
1720530000,57338.15,57376.28,57121.43,57216.94,141.09968861,50.143467172695075,NaN,NaN,NaN,NaN,NaN,NaN,332.79828728493015
1720531800,57217.28,57412.93,56952.69,57324.23,413.61455477,52.95906151478971,NaN,NaN,NaN,NaN,NaN,NaN,341.9012667645779
1720533600,57324.24,58122,57136.8,57574.61,1033.21056094,58.805746807843924,NaN,NaN,NaN,NaN,NaN,NaN,387.8511762813936
1720535400,57579.38,57702.89,57059.9,57072.3,369.16024484,46.357445104420044,NaN,NaN,46.357445104420044,NaN,NaN,NaN,406.0753779755796
1720537200,57072.04,57343.2,56910.35,57192.91,452.49836256,49.14133143809075,NaN,NaN,NaN,NaN,NaN,NaN,407.98785097732383
1720539000,57191.73,57503.78,57036.67,57474.12,175.12168745,55.004629870839516,NaN,NaN,NaN,NaN,NaN,NaN,412.21086162180075
1720540800,57474.58,57866.2,57432.46,57693.72,194.72467768,58.9815136727742,NaN,NaN,NaN,NaN,NaN,NaN,413.7486572202434
1720542600,57693.71,57748.11,57399.13,57694.24,274.25539037,58.99075666356959,NaN,NaN,NaN,NaN,NaN,NaN,409.1223245616548
1720544400,57693.72,57801.2,57452.69,57602.25,164.46566079,56.56255974032084,NaN,NaN,NaN,NaN,NaN,NaN,404.79287280725055
1720546200,57602.25,57653.26,57372.56,57531.7,101.38013804,54.7028259466067,NaN,NaN,NaN,NaN,NaN,NaN,395.92909617816156
1720548000,57525.25,57964.26,57441.02,57722.81,288.80521012,58.667308341244876,NaN,NaN,NaN,NaN,NaN,NaN,405.0227321654361
1720549800,57728.94,58295.31,57713.24,57907.42,871.87652462,62.11653382700332,NaN,NaN,NaN,NaN,NaN,NaN,417.66896558219065
1720551600,57907.37,57942.52,57680.96,57866.75,764.98537781,60.91059746321424,NaN,NaN,NaN,NaN,NaN,NaN,406.51832518346254
1720553400,57866.75,57907.86,57689.24,57858.29,536.81955527,60.646839110370756,NaN,NaN,NaN,NaN,NaN,NaN,393.0970162417868
1720555200,57858.3,57991.42,57695.52,57897.12,199.39786406,61.4715033026602,NaN,NaN,NaN,NaN,NaN,NaN,386.1543722245164
1720557000,57896.69,58103.6,57862.07,57940.49,154.67436191,62.41877628083528,NaN,NaN,NaN,NaN,62.41877628083528,NaN,375.8240599227652
1720558800,57938.05,57967.04,57759.55,57904.33,131.66693804,61.070593097787594,NaN,NaN,NaN,NaN,NaN,NaN,363.80019849971035
1720560600,57904.34,57979.29,57750.22,57787.75,103.56922391,56.810285653468846,NaN,NaN,NaN,NaN,NaN,NaN,354.1766128925882
1720562400,57788.55,57869.18,57707.94,57832.64,109.27027828,58.02455314779905,NaN,NaN,NaN,NaN,NaN,NaN,340.39542625740313
1720564200,57837.06,58273.34,57824.6,57935.15,283.08665952,60.73908981669768,NaN,NaN,NaN,NaN,NaN,NaN,348.1343243818742
1720566000,57935.14,57971.15,57855.65,57893.37,120.50280937,59.06260408642976,NaN,NaN,NaN,NaN,NaN,NaN,331.517586926026
1720567800,57893.37,58114.11,57867.05,58047.86,131.23811649,63.116565050214504,NaN,NaN,NaN,NaN,63.116565050214504,NaN,325.4849021455954
1720569600,58047.86,58047.87,57575.72,57626.37,206.78833885,48.891245374676174,NaN,NaN,NaN,NaN,NaN,NaN,335.9609805637673
1720571400,57626.16,57830.73,57424.65,57490.71,104.7191508,45.34856895363146,NaN,NaN,45.34856895363146,NaN,NaN,NaN,340.9694819520697
1720573200,57493.61,57801.47,57340.7,57781.26,159.398431,53.17450839462757,NaN,NaN,NaN,NaN,NaN,NaN,349.52666181263646
1720575000,57784.89,58000,57665.09,57809.45,109.63931539,53.8647900395798,NaN,NaN,NaN,NaN,NaN,NaN,348.4826145403055
1720576800,57807.29,57904.1,57644.16,57748.01,71.98136697,52.06336165810694,NaN,NaN,NaN,NaN,NaN,NaN,342.1581420731405
1720578600,57748.01,57919.99,57690.32,57887.24,73.35929744,55.68056207933322,NaN,NaN,NaN,NaN,NaN,NaN,334.12327478220175
1720580400,57894.5,58014.07,57846.45,57972.44,102.74725918,57.780053625073045,NaN,NaN,NaN,NaN,NaN,NaN,322.2301837263304
1720582200,57972.43,58212.73,57940.39,58184.8,120.15314192,62.54295126021661,NaN,NaN,NaN,NaN,NaN,NaN,318.6665991744499
1720584000,58184.67,59441.77,58184.67,59271.4,1297.17189016,76.90167266814922,NaN,NaN,NaN,NaN,NaN,NaN,385.6975563762748
1720585800,59269.63,59355.69,58976.11,59348.58,424.65933739,77.55968041657206,NaN,NaN,NaN,NaN,77.55968041657206,NaN,385.2605880636839
1720587600,59347.37,59481.93,59054.42,59131.41,339.27119146,71.39647050480313,NaN,NaN,NaN,NaN,NaN,NaN,388.2784032019923
1720589400,59129.68,59182.38,58834.92,58989.19,157.22909766,67.60758156201155,NaN,NaN,NaN,NaN,NaN,NaN,385.3628029732785
1720591200,58987.7,59168.85,58861.1,59139.74,133.64615366,69.45546037268119,NaN,NaN,NaN,NaN,NaN,NaN,379.8190313323301
1720593000,59140.58,59344.98,59079.53,59257.58,119.45349382,70.85686342943646,NaN,NaN,NaN,NaN,NaN,NaN,371.64981480859257
1720594800,59257.67,59304.63,59042.05,59047.77,90.18760639,65.12743153914016,NaN,NaN,NaN,NaN,NaN,NaN,363.85911375083555
1720596600,59046.8,59110.88,58850,58983.38,82.34083022,63.432248235130956,NaN,NaN,NaN,NaN,NaN,NaN,356.5034627686328
1720598400,58985.13,59043.27,58609.72,58763.73,242.88473666,57.896195629976056,NaN,NaN,NaN,NaN,NaN,NaN,362.0067868565873
1720600200,58763.74,58835.27,58605.47,58758.6,151.05058642,57.76938411753885,NaN,NaN,NaN,NaN,NaN,NaN,352.56344493825935
1720602000,58758.31,58780,58483.93,58520.65,230.7001445,52.07211303888887,NaN,NaN,NaN,NaN,NaN,NaN,348.5281988712408
1720603800,58520.66,58626.98,58400,58493.34,175.1010879,51.445018314901525,NaN,NaN,NaN,NaN,NaN,NaN,339.84618466615245
1720605600,58493.37,58609.32,58308.09,58535.8,259.02841383,52.404716853435716,NaN,NaN,NaN,NaN,NaN,NaN,337.0878857614275
1720607400,58537.86,58714.21,58534.95,58648.8,328.84015985,54.95634730834894,NaN,NaN,NaN,NaN,NaN,NaN,325.81446534989715
1720609200,58644.96,58709.93,58452.9,58476.92,265.04595784,50.51978166156265,NaN,NaN,NaN,NaN,NaN,NaN,320.9012892534758
1720611000,58476.92,58584.45,58341.6,58483.17,196.23583452,50.675711503099485,NaN,NaN,NaN,NaN,NaN,NaN,315.3261971639417
1720612800,58485.87,58559.18,58389.07,58450.32,156.8787605,49.78761734529067,NaN,NaN,NaN,NaN,NaN,NaN,304.95361165223164
1720614600,58450.31,58450.31,57741.61,58147.67,642.96498525,42.412874904608074,NaN,NaN,NaN,NaN,NaN,NaN,333.79335367707216
1720616400,58147.68,58288.77,57900.53,57976.25,297.46175271,38.89838291745205,NaN,NaN,NaN,NaN,NaN,NaN,337.68239984299544
